************* Pattern No.          0 ************
tx_ip_data = 4500002c000000004006ffff7f0000017f000001000000000000000000000000000000000000000000000000, client_encoded = 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000045
tx_fix_data = 00000000, server_decoded = 00000000
************* Pattern No.          1 ************
tx_ip_data = 4500002c000100004006ffff7f0000017f000001000000000000000000000000000000000000000000000000, client_encoded = 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
tx_fix_data = 00000000, server_decoded = 00000000
************* Pattern No.          2 ************
tx_ip_data = 4500002c000200004006ffff7f0000017f00000104022328000200020000000050020000ffff000000000000, client_encoded = 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
tx_fix_data = 00000000, server_decoded = 00000000
************* Pattern No.          3 ************
tx_ip_data = 4500002c000300004006ffff7f0000017f0000010404232800040004000000005002012effff000000000000, client_encoded = 000000000000000000000000000000000000000000000000000000000000000000000000000000000000003c
tx_fix_data = 00000000, server_decoded = 30300000
************* Pattern No.          4 ************
tx_ip_data = 4500002c000400004006ffff7f0000017f00000104082328000800080000000050020000ffff000000000000, client_encoded = 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
tx_fix_data = 30303030, server_decoded = 00000000
************* Pattern No.          5 ************
tx_ip_data = 4500002c000500004006ffff7f0000017f0000010410232800100010000000005002012effff000000000000, client_encoded = 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000005
tx_fix_data = 00000000, server_decoded = 31323334
************* Pattern No.          6 ************
tx_ip_data = 4500002c000600004006ffff7f0000017f00000104202328002000200000000050020000ffff000000000000, client_encoded = 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
tx_fix_data = 00000000, server_decoded = 00000000
************* Pattern No.          7 ************
tx_ip_data = 4500002c000700004006ffff7f0000017f0000010001232800200021000000015010012effff000000000000, client_encoded = 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
tx_fix_data = 00000000, server_decoded = 00000000
************* Pattern No.          8 ************
tx_ip_data = 4500002c000800004006ffff7f0000017f000001000000000000000000000000000000000000000000000000, client_encoded = 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000040
tx_fix_data = 00000000, server_decoded = 00000000
************* Pattern No.          9 ************
tx_ip_data = 4500002c000900004006ffff7f0000017f000001000000000000000000000000000000000000000000000000, client_encoded = 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000006
tx_fix_data = 00000000, server_decoded = 00000000
************* Pattern No.         10 ************
tx_ip_data = 4500002c000a00004006ffff7f0000017f000001000000000000000000000000000000000000000000000000, client_encoded = 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000077
tx_fix_data = 00000000, server_decoded = 00000000
************* Pattern No.         11 ************
tx_ip_data = 4500002c000b00004006ffff7f0000017f000001000000000000000000000000000000000000000000000000, client_encoded = 000000000000000000000000000000000000000000000000000000000000000000000000000000000000005f
tx_fix_data = 00000000, server_decoded = 00000000
************* Pattern No.         12 ************
tx_ip_data = 4500002c000c00004006ffff7f0000017f000001000000000000000000000000000000000000000000000000, client_encoded = 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000c0
tx_fix_data = 00000000, server_decoded = 00000000
************* Pattern No.         13 ************
tx_ip_data = 4500002c000d00004006ffff7f0000017f000001000000000000000000000000000000000000000000000000, client_encoded = 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000a8
tx_fix_data = 00000000, server_decoded = 00000000
************* Pattern No.         14 ************
tx_ip_data = 4500002c000e00004006ffff7f0000017f000001000000000000000000000000000000000000000000000000, client_encoded = 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000041
tx_fix_data = 00000000, server_decoded = 35363738
************* Pattern No.         15 ************
tx_ip_data = 4500002c000f00004006ffff7f0000017f000001000000000000000000000000000000000000000000000000, client_encoded = 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000003
tx_fix_data = 35363738, server_decoded = 77657274
************* Pattern No.         16 ************
tx_ip_data = 4500002c001000004006ffff7f0000017f000001000000000000000000000000000000000000000000000000, client_encoded = 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000c0
tx_fix_data = 77657274, server_decoded = 00000000
************* Pattern No.         17 ************
tx_ip_data = 4500002c001100004006ffff7f0000017f000001000000000000000000000000000000000000000000000000, client_encoded = 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000a8
tx_fix_data = 00000000, server_decoded = 00000000
************* Pattern No.         18 ************
tx_ip_data = 4500002c001200004006ffff7f0000017f000001000000000000000000000000000000000000000000000000, client_encoded = 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000041
tx_fix_data = 00000000, server_decoded = xxxxxxxx
************* Pattern No.         19 ************
tx_ip_data = 4500002c001300004006ffff7f0000017f000001000000000000000000000000000000000000000000000000, client_encoded = 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000004
tx_fix_data = 00000000, server_decoded = xxxxxxxx
************* Pattern No.         20 ************
tx_ip_data = 4500002c001400004006ffff7f0000017f000001000000000000000000000000000000000000000000000000, client_encoded = 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000023
tx_fix_data = 00000000, server_decoded = xxxxxxxx
